This path: 
Drone location: drone coords: [2,2,14] size: [1,1,1], id: 193 
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
This path: 
ap coords: [3,2,14] size: [1,1,1], id: 1
currentLocation: ap coords: [3,1,14] size: [1,1,1], id: 6 
currentLocation: ap coords: [1,1,14] size: [1,1,1], id: 5 
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [1,2,14] size: [1,1,1], id: 2
currentLocation: ap coords: [1,3,14] size: [1,1,1], id: 5 
ap coords: [3,3,14] size: [1,1,1], id: 0
This path: 
,3,14] size: [1,1,1], id: 0
ap coords: [2,2,14] size: [1,1,1], id: 3
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
autoPilotDestination: apdestination coords: [15,2,2] size: [1,1,1], id: 195 
ap coords: [4,2,14] size: [1,1,1], id: 3
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [3,3,14] size: [1,1,1], id: 0
ap coords: [3,2,14] size: [1,1,1], id: 1
This path: 
ap coords: [1,3,14] size: [1,1,1], id: 4
This path: 
ap coords: [2,2,14] size: [1,1,1], id: 4
ap coords: [1,2,14] size: [1,1,1], id: 2
This path: 
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [1,1,14] size: [1,1,1], id: 0
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [3,1,14] size: [1,1,1], id: 0
ap coords: [4,2,14] size: [1,1,1], id: 3
ap coords: [3,3,14] size: [1,1,1], id: 5
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [2,2,14] size: [1,1,1], id: 3
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [2,2,14] size: [1,1,1], id: 4
ap coords: [3,2,14] size: [1,1,1], id: 1
ap coords: [2,3,14] size: [1,1,1], id: 3
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [1,3,14] size: [1,1,1], id: 4
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [3,3,14] size: [1,1,1], id: 5
ap coords: [3,3,14] size: [1,1,1], id: 4
ap coords: [1,2,14] size: [1,1,1], id: 2
ap coords: [1,1,14] size: [1,1,1], id: 5
ap coords: [2,2,14] size: [1,1,1], id: 3
ap coords: [3,1,14] size: [1,1,1], id: 6
ap coords: [1,3,14] size: [1,1,1], id: 5
ap coords: [2,3,14] size: [1,1,1], id: 3
ap coords: [1,3,14] size: [1,1,1], id: 4
ap coords: [2,2,14] size: [1,1,1], id: 4
ap coords: [1,1,14] size: [1,1,1], id: 5
ap coords: [3,3,14] size: [1,1,1], id: 4
ap coords: [3,3,14] size: [1,1,1], id: 5
ap coords: [1,3,14] size: [1,1,1], id: 5
ap coords: [2,4,14] size: [1,1,1], id: 6
ap coords: [3,1,14] size: [1,1,1], id: 6
